ID,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Temperature(F),Humidity(%),Visibility(mi),Weather_Condition
A-0,2020-01-01 00:00:00,2020-01-01 00:30:00,33.9889628523367,-84.20478230087453,29.44319029212687,-94.41233824723557,50.93645469887248,84.47670298956727,6.890678444984531,Cloudy
A-1,2020-01-01 01:00:00,2020-01-01 01:30:00,47.81714335383799,-93.44250711838514,38.0056227370806,-96.68663297510534,49.75830392575999,78.80750151892458,8.068473273318038,Cloudy
A-2,2020-01-01 02:00:00,2020-01-01 02:30:00,42.56785460347372,-106.35692587167932,45.9507000610338,-122.53840224903317,102.50036644168293,61.617605631001595,2.8794450385287402,Fog
A-3,2020-01-01 03:00:00,2020-01-01 03:30:00,39.36780362072888,-77.61368387670393,42.57339727382947,-104.54887382530909,49.96369598796049,96.04424292507397,6.43630394626649,Clear
A-4,2020-01-01 04:00:00,2020-01-01 04:30:00,28.744447370618477,-84.97032316442889,44.35746754867479,-102.32884972920615,51.75597809029048,28.042706397556252,5.931586839865613,Fog
A-5,2020-01-01 05:00:00,2020-01-01 05:30:00,28.743868488068863,-114.73083445734119,40.81080080105721,-101.26710148887668,90.7518609934371,19.83377892786593,8.411888579488576,Fog
A-6,2020-01-01 06:00:00,2020-01-01 06:30:00,26.394006692036786,-72.07715048385097,41.61463754842846,-90.93017495404206,65.9791873960432,86.85657702598799,9.107827074571976,Cloudy
A-7,2020-01-01 07:00:00,2020-01-01 07:30:00,45.788227498598445,-77.11537715337937,45.38069563756766,-93.58465483656792,92.1368445564145,49.52348349703735,0.6154893290351746,Clear
A-8,2020-01-01 08:00:00,2020-01-01 08:30:00,39.42676028183701,-69.86140494236034,30.99203221262046,-89.34940971077366,35.22929260515082,86.22719687863544,6.90318923105853,Rain
A-9,2020-01-01 09:00:00,2020-01-01 09:30:00,41.99374186710509,-82.63398802186347,36.746199127435375,-80.40165409209868,69.00569549387075,90.37811846758734,0.9924400916374256,Clear
A-10,2020-01-01 10:00:00,2020-01-01 10:30:00,25.49402786309926,-89.03533383165998,30.309026603670453,-77.65981289318267,32.68908801466261,15.62118342571643,5.714157318234881,Fog
A-11,2020-01-01 11:00:00,2020-01-01 11:30:00,48.277836451887865,-100.16014693143472,48.704032191919524,-83.06698465508981,35.01225627642836,89.51182866874547,3.232510925914943,Fog
A-12,2020-01-01 12:00:00,2020-01-01 12:30:00,44.97862337921012,-70.83447644882125,47.65742415247872,-69.53514933056871,102.51499626755287,50.348714983247994,3.4143776954603413,Fog
A-13,2020-01-01 13:00:00,2020-01-01 13:30:00,30.096138656278626,-74.63435829847673,25.94624347284414,-122.96074278744739,41.13962968940761,55.9389240103809,3.8531057827973876,Clear
A-14,2020-01-01 14:00:00,2020-01-01 14:30:00,29.363799212970413,-121.4225358039472,41.93380414037652,-112.84065481603787,72.59365458201736,66.39332599838892,6.4022782659712965,Cloudy
A-15,2020-01-01 15:00:00,2020-01-01 15:30:00,29.401708236482413,-122.49708245365663,47.20595961797598,-123.5689161262459,62.887648208056525,93.3744346057078,3.6734746738533075,Fog
A-16,2020-01-01 16:00:00,2020-01-01 16:30:00,32.30181383102891,-102.54158808795117,29.333808283056005,-87.09394129318763,57.78746610070741,11.720448498678763,7.460640980607664,Fog
A-17,2020-01-01 17:00:00,2020-01-01 17:30:00,37.59415435917371,-77.79846014543553,38.630685533263105,-72.81225870985074,101.9866676549818,52.91591214860354,4.343010162951762,Clear
A-18,2020-01-01 18:00:00,2020-01-01 18:30:00,35.36668044741078,-67.72526062904817,46.971719142113,-110.12150909515094,31.74587174203916,71.89498381875046,1.149355402944607,Rain
A-19,2020-01-01 19:00:00,2020-01-01 19:30:00,31.989499364753005,-115.4262372070989,25.814703486059173,-71.15903094661053,83.10317489404713,75.04362619284056,7.945718503599019,Rain
A-20,2020-01-01 20:00:00,2020-01-01 20:30:00,39.6844694733371,-90.13454922492829,41.73808641392416,-120.56475875349503,107.07155473708403,72.32791883833971,3.214704083630707,Cloudy
A-21,2020-01-01 21:00:00,2020-01-01 21:30:00,28.347852655649003,-102.28922117203177,32.13637617694122,-70.73714647208568,74.81345467694736,22.099161646730966,4.611285356192995,Cloudy
A-22,2020-01-01 22:00:00,2020-01-01 22:30:00,32.01147156484524,-68.71487932456762,47.18550868903673,-103.95750682734084,104.94579696264735,36.94560295345131,7.0117168906080645,Fog
A-23,2020-01-01 23:00:00,2020-01-01 23:30:00,33.7926842390486,-75.9992213812646,48.30539788396882,-118.21901277839466,34.1806303428819,42.28439728753121,3.658333492912764,Clear
A-24,2020-01-02 00:00:00,2020-01-02 00:30:00,35.94567962120886,-76.21526383146514,47.66239573872241,-96.30530972637943,63.50346552593291,82.39934869115545,1.0375637333937984,Fog
A-25,2020-01-02 01:00:00,2020-01-02 01:30:00,43.844223073432325,-97.28448989168669,36.38114119977913,-109.36373563993105,50.81262327696409,35.088388517309774,4.052249946621729,Cloudy
A-26,2020-01-02 02:00:00,2020-01-02 02:30:00,29.792170771800635,-100.35528836675309,45.68902362374352,-107.7622445881704,88.46567719845838,28.963446748048284,9.472261535595882,Clear
A-27,2020-01-02 03:00:00,2020-01-02 03:30:00,37.34162652192668,-108.41579689994974,45.26918556484169,-106.48447199920167,108.50376723977973,96.17032171342865,6.596476774336303,Clear
A-28,2020-01-02 04:00:00,2020-01-02 04:30:00,39.217949652689015,-120.78659669089716,32.65841135783813,-78.22752382353818,50.52240499553982,10.7976956602122,6.879051912338466,Cloudy
A-29,2020-01-02 05:00:00,2020-01-02 05:30:00,26.114809905279945,-74.71082455346198,44.89397137961626,-93.2678072295105,82.33396811792596,99.80387701137803,6.506680459557579,Rain
A-30,2020-01-02 06:00:00,2020-01-02 06:30:00,39.58107644563452,-77.66464247958558,25.888183233171823,-106.2554611481078,45.847810620779214,70.9139168971656,2.3904253201146495,Rain
A-31,2020-01-02 07:00:00,2020-01-02 07:30:00,29.092578968494998,-67.01609262269056,39.310477083569275,-89.21097435127766,75.22642036572879,84.56223695042054,4.474171708971661,Clear
A-32,2020-01-02 08:00:00,2020-01-02 08:30:00,26.56123823164671,-67.1917002867874,30.520212094904874,-83.17941156927796,67.1145989350669,36.51574567115738,7.633928084451523,Fog
